,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
1409,2011Q1,180.26666666666665,Parkerville,730000,4.0,2,6081,Perth
1412,2011Q1,180.26666666666665,Waterford,828000,4.0,2,6152,Perth
1413,2011Q1,180.26666666666665,Calista,315000,4.0,2,6167,Perth
1415,2011Q1,180.26666666666665,Mahogany Creek,605000,4.0,2,6072,Perth
1422,2011Q1,180.26666666666665,North Lake,860000,4.0,2,6163,Perth
1428,2011Q1,180.26666666666665,Cardup,285000,4.0,2,6122,Perth
1429,2011Q1,180.26666666666665,Upper Swan,620000,4.0,2,6069,Perth
1439,2011Q1,180.26666666666665,Ashfield,400000,4.0,2,6054,Perth
1441,2011Q1,180.26666666666665,Waterford,1150000,4.0,2,6152,Perth
1445,2011Q1,180.26666666666665,Hovea,815000,4.0,2,6071,Perth
1447,2011Q1,180.26666666666665,Marmion,680000,4.0,2,6020,Perth
1449,2011Q1,180.26666666666665,Hazelmere,500000,4.0,2,6055,Perth
1455,2011Q2,172.70000000000002,Samson,462000,4.0,2,6163,Perth
1456,2011Q2,172.70000000000002,Kiara,390000,4.0,2,6054,Perth
1457,2011Q2,172.70000000000002,Viveash,685000,4.0,2,6056,Perth
1460,2011Q2,172.70000000000002,Murdoch,767500,4.0,2,6150,Perth
1464,2011Q2,172.70000000000002,Mariginiup,860000,4.0,2,6078,Perth
1466,2011Q2,172.70000000000002,Parkerville,835000,4.0,2,6081,Perth
1469,2011Q2,172.70000000000002,Jarrahdale,643000,4.0,2,6124,Perth
1471,2011Q2,172.70000000000002,Martin,650000,4.0,2,6110,Perth
1472,2011Q2,172.70000000000002,Daglish,1100000,4.0,2,6008,Perth
1473,2011Q2,172.70000000000002,Hovea,1205000,4.0,2,6071,Perth
1479,2011Q2,172.70000000000002,Chidlow,490000,4.0,2,6556,Perth
1480,2011Q2,172.70000000000002,Belhus,968000,4.0,2,6069,Perth
1482,2011Q2,172.70000000000002,Karawara,880000,4.0,2,6152,Perth
1483,2011Q2,172.70000000000002,Mundijong,339000,4.0,2,6123,Perth
1484,2011Q2,172.70000000000002,Daglish,910000,4.0,2,6008,Perth
1486,2011Q2,172.70000000000002,Wattleup,184166,4.0,2,6166,Perth
1488,2011Q2,172.70000000000002,Darling Downs,902000,4.0,2,6122,Perth
1490,2011Q2,172.70000000000002,Casuarina,755000,4.0,2,6167,Perth
1491,2011Q2,172.70000000000002,Woodbridge,549000,4.0,2,6056,Perth
1494,2011Q2,172.70000000000002,Samson,527000,4.0,2,6163,Perth
1496,2011Q2,172.70000000000002,Viveash,575000,4.0,2,6056,Perth
1506,2011Q2,172.70000000000002,Mahogany Creek,600000,4.0,2,6072,Perth
1515,2011Q2,172.70000000000002,Marmion,1125000,4.0,2,6020,Perth
